Адрес,Широта,Долгота,Описание ,
"Москва ул. Большая Филевская, д. 4",55.753686,37.513143,"Формат: ВкусВилл
Адрес: Москва ул. Большая Филевская, д. 4
ТТ: 2145
Телефон ТТ: , 79295173518
Эл. почта: retail.1.34@vkusvill.ru, retail.1.34@vkusvill.ru
Код ТТ: 2145М_БольшаяФилевская4",
"Москва ул. Большая Черемушкинская, д. 1",55.690184,37.601883,"Формат: ВкусВилл
Адрес: Москва ул. Большая Черемушкинская, д. 1
ТТ: 2134
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 2134М_БольшаяЧеремушкинская1",
"Москва ул. Большая Черкизовская, 6",55.79619,37.719571,"Формат: ВкусВилл
Адрес: Москва ул. Большая Черкизовская, 6
ТТ: 1361
Телефон ТТ: , 79257762419
Эл. почта: retail.2.6@vkusvill.ru, retail.2.6@vkusvill.ru
Код ТТ: 1361М_БольшаяЧеркизовская6",
"Москва ул. Большая Черкизовская, д. 5 к. 1",55.797482,37.720671,"Формат: ВкусВилл
Адрес: Москва ул. Большая Черкизовская, д. 5 к. 1
ТТ: 5099
Телефон ТТ: , 79257762419
Эл. почта: retail.2.6@vkusvill.ru, retail.2.6@vkusvill.ru
Код ТТ: 5099М_БЧеркизовская5к1",
"Москва ул. Большая Якиманка, д. 54",55.7313161,37.6115488,"Формат: ВкусВилл
Адрес: Москва ул. Большая Якиманка, д. 54
ТТ: 1752
Телефон ТТ: , 79261605988
Эл. почта: retail.1.17@vkusvill.ru, retail.1.17@vkusvill.ru
Код ТТ: 1752М_БольшаяЯкиманка54",
Москва ул. Большие Каменщики 6 стр 1,55.7360226,37.6551131,"Формат: ВкусВилл
Адрес: Москва ул. Большие Каменщики 6 стр 1
ТТ: 1339
Телефон ТТ: , 79267165606
Эл. почта: retail.2.30@vkusvill.ru, retail.2.30@vkusvill.ru
Код ТТ: 1339М_БКаменщики6",
"Москва ул. Бориса Галушкина, д. 16",55.8230891,37.6558263,"Формат: Шмель
Адрес: Москва ул. Бориса Галушкина, д. 16
ТТ: 2044
Телефон ТТ: , 79267944543
Эл. почта: retail.3.1@vkusvill.ru, retail.3.1@vkusvill.ru
Код ТТ: 2044Ш_БорисаГалушкина16",
"Москва ул. Бориса Пастернака, д. 14",55.637718,37.315038,"Формат: ВкусВилл
Адрес: Москва ул. Бориса Пастернака, д. 14
ТТ: 5579
Телефон ТТ: , 79257860519
Эл. почта: retail.1.38@vkusvill.ru, retail.1.38@vkusvill.ru
Код ТТ: 5579М_БорисаПастернака14",
"Москва ул. Борисовские Пруды, д. 12 к. 1",55.6361003,37.7424194,"Формат: ВкусВилл
Адрес: Москва ул. Борисовские Пруды, д. 12 к. 1
ТТ: 5828
Телефон ТТ: , 79261770702
Эл. почта: retail.2.14@vkusvill.ru, retail.2.14@vkusvill.ru
Код ТТ: 5828М_БорисовскиеПруды12",
"Москва ул. Ботаническая, д. 27",55.8330383,37.5950776,"Формат: ВкусВилл
Адрес: Москва ул. Ботаническая, д. 27
ТТ: 1626
Телефон ТТ: , 79256459960
Эл. почта: retail.3.49@vkusvill.ru, retail.3.49@vkusvill.ru
Код ТТ: 1626М_Ботаническая27",
"Москва ул. Ботаническая, д. 33В стр. 1",55.8402029,37.5825886,"Формат: Жук
Адрес: Москва ул. Ботаническая, д. 33В стр. 1
ТТ: 7868
Телефон ТТ: , 79296872474
Эл. почта: retail.3.42@vkusvill.ru, retail.3.42@vkusvill.ru
Код ТТ: 7868Ж_Ботаническая33",
"Москва ул. Братеевская, д. 37, к. 1",55.6370383,37.7691987,"Формат: Шмель
Адрес: Москва ул. Братеевская, д. 37, к. 1
ТТ: 3146
Телефон ТТ: , 79261770702
Эл. почта: retail.2.14@vkusvill.ru, retail.2.14@vkusvill.ru
Код ТТ: 3146Ш_Братеевская37",
"Москва ул. Братиславская,  д. 16, к. 1",55.6593283,37.7574626,"Формат: ВкусВилл
Адрес: Москва ул. Братиславская,  д. 16, к. 1
ТТ: 844
Телефон ТТ: , 79261606098
Эл. почта: retail.2.21@vkusvill.ru, retail.2.21@vkusvill.ru
Код ТТ: 844М_Братиславская16",
"Москва ул. Братиславская, д.29, корп. 1",55.6538602,37.7670681,"Формат: ВкусВилл
Адрес: Москва ул. Братиславская, д.29, корп. 1
ТТ: 983
Телефон ТТ: , 79261606098
Эл. почта: retail.2.21@vkusvill.ru, retail.2.21@vkusvill.ru
Код ТТ: 983М_Братиславская29",
"Москва ул. Брусилова, д. 15",55.5017157,37.5804199,"Формат: Жук
Адрес: Москва ул. Брусилова, д. 15
ТТ: 7265
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 7265Ж_Брусилова15",
"Москва ул. Бутлерова, д. 24",55.6482345,37.5372842,"Формат: Жук
Адрес: Москва ул. Бутлерова, д. 24
ТТ: 7205
Телефон ТТ: , 79296096417
Эл. почта: retail.r.30@vkusvill.ru, retail.r.30@vkusvill.ru
Код ТТ: 7205Ж_Бутлерова24",
"Москва ул. Бутырская, д. 2/18",55.7944765,37.586538,"Формат: ВкусВилл
Адрес: Москва ул. Бутырская, д. 2/18
ТТ: 4049
Телефон ТТ: , 79258626814
Эл. почта: retail.3.8@vkusvill.ru, retail.3.8@vkusvill.ru
Код ТТ: 4049М_Бутырская2",
"Москва ул. Бутырский Вал, д. 48",55.7852572,37.588093,"Формат: ВкусВилл
Адрес: Москва ул. Бутырский Вал, д. 48
ТТ: 1651
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 1651М_БутырскийВал48",
"Москва ул. Вавилова, д. 17",55.701861,37.580679,"Формат: ВкусВилл
Адрес: Москва ул. Вавилова, д. 17
ТТ: 2215
Телефон ТТ: , 79261605988
Эл. почта: retail.1.17@vkusvill.ru, retail.1.17@vkusvill.ru
Код ТТ: 2215М_Вавилова17",
"Москва ул. Вавилова, д. 55/7",55.6921846,37.5630559,"Формат: ВкусВилл
Адрес: Москва ул. Вавилова, д. 55/7
ТТ: 5344
Телефон ТТ: , 79261605988
Эл. почта: retail.1.17@vkusvill.ru, retail.1.17@vkusvill.ru
Код ТТ: 5344М_Вавилова55",
"Москва ул. Вавилова, д. 60 к. 5",55.688918,37.552822,"Формат: Жук
Адрес: Москва ул. Вавилова, д. 60 к. 5
ТТ: 7226
Телефон ТТ: , 79257861325
Эл. почта: tatyana.sarapaeva@mail.ru, tatyana.sarapaeva@mail.ru
Код ТТ: 7226Ж_Вавилова60",
"Москва ул. Вавилова, д. 81 к. 1",55.6794558,37.5460255,"Формат: Жук
Адрес: Москва ул. Вавилова, д. 81 к. 1
ТТ: 8033
Телефон ТТ: , 79296096417
Эл. почта: retail.r.30@vkusvill.ru, retail.r.30@vkusvill.ru
Код ТТ: 8033Ж_Вавилова81",
"Москва ул. Вавилова, д. 86",55.6768561,37.5411288,"Формат: ВкусВилл
Адрес: Москва ул. Вавилова, д. 86
ТТ: 1586
Телефон ТТ: , 79257862360
Эл. почта: retail.1.10@vkusvill.ru, retail.1.10@vkusvill.ru
Код ТТ: 1586М_Вавилова86",
"Москва ул. Валовая, д. 11/19",55.7301171,37.6323819,"Формат: Шмель
Адрес: Москва ул. Валовая, д. 11/19
ТТ: 1513
Телефон ТТ: , 79267897886
Эл. почта: retail.2.17@vkusvill.ru, retail.2.17@vkusvill.ru
Код ТТ: 1513Ш_Валовая11",
"Москва ул. Валовая, д. 32/75, стр. 1",55.7303383,37.6258978,"Формат: ВкусВилл
Адрес: Москва ул. Валовая, д. 32/75, стр. 1
ТТ: 2875
Телефон ТТ: , 79267897886
Эл. почта: retail.2.17@vkusvill.ru, retail.2.17@vkusvill.ru
Код ТТ: 2875М_Валовая32",
"Москва ул. Варшавское шоссе, д. 141, к. 9",,,Not Found,"Формат: Жук
Адрес: Москва ул. Большая Набережная, д. 19
ТТ: 7625
Телефон ТТ: , 79295979127
Эл. почта: retail.3.54@vkusvill.ru, retail.3.54@vkusvill.ru
Код ТТ: 7625Ж_БольшаяНабережная19"
"Москва ул. Василия Ощепкова, д. 6",55.5549835,37.4672873,"Формат: ВкусВилл
Адрес: Москва ул. Василия Ощепкова, д. 6
ТТ: 8729
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 8729М_ВасилияОщепкова6расширение",
"Москва ул. Васильцовский стан, д. 5, к.1",55.7138345,37.7507865,"Формат: ВкусВилл
Адрес: Москва ул. Васильцовский стан, д. 5, к.1
ТТ: 1350
Телефон ТТ: , 79257862455
Эл. почта: retail.2.4@vkusvill.ru, retail.2.4@vkusvill.ru
Код ТТ: 1350М_Васильцовский5",
"Москва ул. Ватутина, д. 9",55.721354,37.4546823,"Формат: ВкусВилл
Адрес: Москва ул. Ватутина, д. 9
ТТ: 1994
Телефон ТТ: , 79257765132
Эл. почта: retail.1.14@vkusvill.ru, retail.1.14@vkusvill.ru
Код ТТ: 1994М_Ватутина9",
"Москва ул. Веерная, д. 3 к. 6",55.7057804,37.4770828,"Формат: ВкусВилл
Адрес: Москва ул. Веерная, д. 3 к. 6
ТТ: 1690
Телефон ТТ: , 79057198884
Эл. почта: retail.1.36@vkusvill.ru, retail.1.36@vkusvill.ru
Код ТТ: 1690М_Веерная3",
"Москва ул. Веерная, д. 30, к. 6",55.7103309,37.4760618,"Формат: ВкусВилл
Адрес: Москва ул. Веерная, д. 30, к. 6
ТТ: 1668
Телефон ТТ: , 79057198884
Эл. почта: retail.1.36@vkusvill.ru, retail.1.36@vkusvill.ru
Код ТТ: 1668М_Веерная30",
"Москва ул. Веерная, д. 4 к. 1",55.7123059,37.489462,"Формат: Жук
Адрес: Москва ул. Веерная, д. 4 к. 1
ТТ: 6919
Телефон ТТ: , 79057198884
Эл. почта: retail.1.36@vkusvill.ru, retail.1.36@vkusvill.ru
Код ТТ: 6919Ж_Веерная4",
"Москва ул. Вересаева, д. 12",55.71854,37.4449038,"Формат: Шмель
Адрес: Москва ул. Вересаева, д. 12
ТТ: 2888
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 2888Ш_Вересаева12",
"Москва ул. Вернадского, д. 105 к. 4",55.663639,37.486679,"Формат: Жук
Адрес: Москва ул. Вернадского, д. 105 к. 4
ТТ: 7756
Телефон ТТ: , 79257861325
Эл. почта: tatyana.sarapaeva@mail.ru, tatyana.sarapaeva@mail.ru
Код ТТ: 7756Ж_Вернадского105",
"Москва ул. Вертолетчиков, д. 2А к. 3",55.700101,37.941981,"Формат: Жук
Адрес: Москва ул. Вертолетчиков, д. 2А к. 3
ТТ: 6675
Телефон ТТ: , 79296935136
Эл. почта: retail.2.31@vkusvill.ru, retail.2.31@vkusvill.ru
Код ТТ: 6675Ж_Вертолетчиков2",
"Москва ул. Вертолётчиков, д. 4 к. 5",55.703479,37.94517,"Формат: Жук
Адрес: Москва ул. Вертолётчиков, д. 4 к. 5
ТТ: 6978
Телефон ТТ: , 79263759141
Эл. почта: trener-service12.14@vkusvill.ru, trener-service12.14@vkusvill.ru
Код ТТ: 6978Ж_Вертолётчиков4",
"Москва ул. Верхняя Масловка, д. 21",55.7957853,37.5600944,"Формат: ВкусВилл
Адрес: Москва ул. Верхняя Масловка, д. 21
ТТ: 8507
Телефон ТТ: , 79366224718
Эл. почта: retail.3.29@vkusvill.ru, retail.3.29@vkusvill.ru
Код ТТ: 8507М_ВерхняяМасловка21",
"Москва ул. Верхняя Радищевская, д. 17/2 стр. 2",55.7432701,37.6527617,"Формат: ВкусВилл
Адрес: Москва ул. Верхняя Радищевская, д. 17/2 стр. 2
ТТ: 6730
Телефон ТТ: , 79267165606
Эл. почта: retail.2.30@vkusvill.ru, retail.2.30@vkusvill.ru
Код ТТ: 6730М_ВерхняяРадищевская17",
"Москва ул. Верхняя Радищевская, д. 22",55.7426339,37.6531488,"Формат: ВкусВилл
Адрес: Москва ул. Верхняя Радищевская, д. 22
ТТ: 2338
Телефон ТТ: , 79267165606
Эл. почта: retail.2.30@vkusvill.ru, retail.2.30@vkusvill.ru
Код ТТ: 2338М_ВерхняяРадищевская22",
"Москва ул. Верхняя, д. 20 к. 1",55.779196,37.574318,"Формат: ВкусВилл
Адрес: Москва ул. Верхняя, д. 20 к. 1
ТТ: 8438
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 8438М_Верхняя20",
"Москва ул. Веселая, д. 4",55.6218593,37.6664206,"Формат: ВкусВилл
Адрес: Москва ул. Веселая, д. 4
ТТ: 2429
Телефон ТТ: , 79261770702
Эл. почта: retail.2.14@vkusvill.ru, retail.2.14@vkusvill.ru
Код ТТ: 2429М_Веселая4",
"Москва ул. Викторенко , д. 3",55.79868,37.5290575,"Формат: ВкусВилл
Адрес: Москва ул. Викторенко , д. 3
ТТ: 6597
Телефон ТТ: , 79259526915
Эл. почта: retail.3.40@vkusvill.ru, retail.3.40@vkusvill.ru
Код ТТ: 6597М_Викторенко3",
"Москва ул. Викторенко, д. 11",55.7953356,37.525982,"Формат: ВкусВилл
Адрес: Москва ул. Викторенко, д. 11
ТТ: 6717
Телефон ТТ: , 79259526915
Эл. почта: retail.3.40@vkusvill.ru, retail.3.40@vkusvill.ru
Код ТТ: 6717М_Викторенко11",
"Москва ул. Вилиса Лациса, д. 38 к. 1",55.8564214,37.4045943,"Формат: Жук
Адрес: Москва ул. Вилиса Лациса, д. 38 к. 1
ТТ: 8388
Телефон ТТ: , 79296449040
Эл. почта: retail.3.41@vkusvill.ru, retail.3.41@vkusvill.ru
Код ТТ: 8388Ж_ВилисаЛациса38",
"Москва ул. Вильнюсская, д. 5",55.6037318,37.5230311,"Формат: ВкусВилл
Адрес: Москва ул. Вильнюсская, д. 5
ТТ: 681
Телефон ТТ: , 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 681М_Вильнюсская5",
"Москва ул. Винокурова, д. 10 к. 1",55.6872367,37.5881168,"Формат: Жук
Адрес: Москва ул. Винокурова, д. 10 к. 1
ТТ: 8355
Телефон ТТ: , 79261605988
Эл. почта: retail.1.17@vkusvill.ru, retail.1.17@vkusvill.ru
Код ТТ: 8355Ж_Винокурова10",
Москва ул. Вишневая 2/14,55.8272332,37.4467773,"Формат: ВкусВилл
Адрес: Москва ул. Вишневая 2/14
ТТ: 1038
Телефон ТТ: , 79296449040
Эл. почта: retail.3.41@vkusvill.ru, retail.3.41@vkusvill.ru
Код ТТ: 1038М_Вишневая2",
"Москва ул. Внуковская Б, д. 19/8",55.6109922,37.2958899,"Формат: Шмель
Адрес: Москва ул. Внуковская Б, д. 19/8
ТТ: 7182
Телефон ТТ: , 79366224691
Эл. почта: retail.1.25@vkusvill.ru, retail.1.25@vkusvill.ru
Код ТТ: 7182Ш_ВнуковскаяБ19",
"Москва ул. Вольная, д. 28/4 к. 2",55.7755926,37.7377474,"Формат: Жук
Адрес: Москва ул. Вольная, д. 28/4 к. 2
ТТ: 6647
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 6647Ж_Вольная28",
"Москва ул. Воронежская, д. 16",55.6099322,37.7325612,"Формат: Шмель
Адрес: Москва ул. Воронежская, д. 16
ТТ: 3057
Телефон ТТ: , 79261770702
Эл. почта: retail.2.14@vkusvill.ru, retail.2.14@vkusvill.ru
Код ТТ: 3057Ш_Воронежская16",
"Москва ул. Габричевского, д. 10 к. 2",55.8161367,37.4610616,"Формат: ВкусВилл
Адрес: Москва ул. Габричевского, д. 10 к. 2
ТТ: 7273
Телефон ТТ: , 79255880024
Эл. почта: retail.3.5@vkusvill.ru, retail.3.5@vkusvill.ru
Код ТТ: 7273М_Габричевского10",
"Москва ул. Газопровод, д.1, корп. 6 А",55.5942524,37.6042806,"Формат: Шмель
Адрес: Москва ул. Газопровод, д.1, корп. 6 А
ТТ: 1263
Телефон ТТ: , 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 1263Ш_Газопровод1",
"Москва ул. Гарибальди, д. 15",55.6751334,37.5459898,"Формат: ВкусВилл
Адрес: Москва ул. Гарибальди, д. 15
ТТ: 1569
Телефон ТТ: , 79257862360
Эл. почта: retail.1.10@vkusvill.ru, retail.1.10@vkusvill.ru
Код ТТ: 1569М_Гарибальди15",
"Москва ул. Гарибальди, д. 7",55.6773551,37.5374576,"Формат: Жук
Адрес: Москва ул. Гарибальди, д. 7
ТТ: 7077
Телефон ТТ: , 79257862360
Эл. почта: retail.1.10@vkusvill.ru, retail.1.10@vkusvill.ru
Код ТТ: 7077Ж_Гарибальди7",
"Москва ул. Генерала Белобородова, д. 11",55.8367563,37.3547061,"Формат: ВкусВилл
Адрес: Москва ул. Генерала Белобородова, д. 11
ТТ: 910
Телефон ТТ: , 79257861062
Эл. почта: retail.1.2@vkusvill.ru, retail.1.2@vkusvill.ru
Код ТТ: 910М_ГенералаБелобородова11",
"Москва ул. Генерала Белова, д. 28 стр. 1",55.6136317,37.7209219,"Формат: Шмель
Адрес: Москва ул. Генерала Белова, д. 28 стр. 1
ТТ: 3718
Телефон ТТ: , 79268326567
Эл. почта: retail.2.32@vkusvill.ru, retail.2.32@vkusvill.ru
Код ТТ: 3718Ш_ГенералаБелова28эт1",
"Москва ул. генерала Белова, д. 29",55.6148917,37.7213297,"Формат: ВкусВилл
Адрес: Москва ул. генерала Белова, д. 29
ТТ: 2654
Телефон ТТ: , 79268326567
Эл. почта: retail.2.32@vkusvill.ru, retail.2.32@vkusvill.ru
Код ТТ: 2654М_ГенералаБелова29",
"Москва ул. Генерала Кузнецова, д. 28 к. 1",55.6829782,37.8520302,"Формат: ВкусВилл
Адрес: Москва ул. Генерала Кузнецова, д. 28 к. 1
ТТ: 1648
Телефон ТТ: , 79257861214
Эл. почта: retail.2.5@vkusvill.ru, retail.2.5@vkusvill.ru
Код ТТ: 1648М_ГенералаКузнецова28",
"Москва ул. Генерала Тюленева, д. 4А стр. 1",55.625865,37.4836157,"Формат: Шмель
Адрес: Москва ул. Генерала Тюленева, д. 4А стр. 1
ТТ: 7961
Телефон ТТ: , 79263370916
Эл. почта: retail.1.41@vkusvill.ru, retail.1.41@vkusvill.ru
Код ТТ: 7961Ш_ГенТюленева4",
"Москва ул. Гжатская, д. 16 к. 1",55.7154402,37.4350803,"Формат: ВкусВилл
Адрес: Москва ул. Гжатская, д. 16 к. 1
ТТ: 5525
Телефон ТТ: , 79296873865
Эл. почта: retail.r.3@vkusvill.ru, retail.r.3@vkusvill.ru
Код ТТ: 5525М_Гжатская16",
"Москва ул. Гиляровского, д. 40",55.7830504,37.6328264,"Формат: ВкусВилл
Адрес: Москва ул. Гиляровского, д. 40
ТТ: 1646
Телефон ТТ: , 79267944543
Эл. почта: retail.3.1@vkusvill.ru, retail.3.1@vkusvill.ru
Код ТТ: 1646М_Гиляровского40",
"Москва ул. Годовикова, д.11 к.1",55.809889,37.624723,"Формат: ВкусВилл
Адрес: Москва ул. Годовикова, д.11 к.1
ТТ: 8209
Телефон ТТ: , 79256598920
Эл. почта: retail.r.9@vkusvill.ru, retail.r.9@vkusvill.ru
Код ТТ: 8209М_Годовикова11",
"Москва ул. Голубинская, д. 32/2",55.5945542,37.5445296,"Формат: Жук
Адрес: Москва ул. Голубинская, д. 32/2
ТТ: 2527
Телефон ТТ: , 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 2527Ж_Голубинская32",
"Москва ул. Госпитальный Вал, д. 22/2",55.7736224,37.7119689,"Формат: ВкусВилл
Адрес: Москва ул. Госпитальный Вал, д. 22/2
ТТ: 5358
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 5358М_ГоспитальныйВал22",
"Москва ул. Грекова, д. 22",55.8920816,37.6628165,"Формат: ВкусВилл
Адрес: Москва ул. Грекова, д. 22
ТТ: 1087
Телефон ТТ: , 79267944543
Эл. почта: retail.3.1@vkusvill.ru, retail.3.1@vkusvill.ru
Код ТТ: 1087М_Грекова22",
"Москва ул. Гризодубовой, д. 2",55.782603,37.5319875,"Формат: ВкусВилл
Адрес: Москва ул. Гризодубовой, д. 2
ТТ: 1993
Телефон ТТ: , 79257861730
Эл. почта: retail.3.18@vkusvill.ru, retail.3.18@vkusvill.ru
Код ТТ: 1993М_Гризодубовой2",
"Москва ул. Грина, д. 11",55.567619,37.5669916,"Формат: ВкусВилл
Адрес: Москва ул. Грина, д. 11
ТТ: 1549
Телефон ТТ: , 79296106533
Эл. почта: retail.1.29@vkusvill.ru, retail.1.29@vkusvill.ru
Код ТТ: 1549М_Грина11",
"Москва ул. Гришина , д. 23, к. 1",55.7245816,37.4150675,"Формат: Шмель
Адрес: Москва ул. Гришина , д. 23, к. 1
ТТ: 2712
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 2712Ш_Гришина23",
"Москва ул. Гурьянова, д. 55",55.6803779,37.7170768,"Формат: Жук
Адрес: Москва ул. Гурьянова, д. 55
ТТ: 7237
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 7237Ж_Гурьянова55",
"Москва ул. Дегунинская, д. 10, к. 1",55.86547,37.537649,"Формат: Шмель
Адрес: Москва ул. Дегунинская, д. 10, к. 1
ТТ: 2560
Телефон ТТ: , 79267163642
Эл. почта: retail.3.14@vkusvill.ru, retail.3.14@vkusvill.ru
Код ТТ: 2560Ш_Дегунинская10",
"Москва ул. Декабристов, д. 15, стр. 2",55.8654868,37.6028369,"Формат: ВкусВилл
Адрес: Москва ул. Декабристов, д. 15, стр. 2
ТТ: 1730
Телефон ТТ: , 79267165688
Эл. почта: retail.3.38@vkusvill.ru, retail.3.38@vkusvill.ru
Код ТТ: 1730М_Декабристов15",
"Москва ул. Дмитриевского, д. 23 к. 1",55.7112029,37.8969344,"Формат: Жук
Адрес: Москва ул. Дмитриевского, д. 23 к. 1
ТТ: 7043
Телефон ТТ: , 79257860662
Эл. почта: retail.2.12@vkusvill.ru, retail.2.12@vkusvill.ru
Код ТТ: 7043Ж_Дмитриевского23",
"Москва ул. Дмитрия Ульянова, д. 18 к. 1",55.6883014,37.5704447,"Формат: ВкусВилл
Адрес: Москва ул. Дмитрия Ульянова, д. 18 к. 1
ТТ: 7519
Телефон ТТ: , 79257862360
Эл. почта: retail.1.10@vkusvill.ru, retail.1.10@vkusvill.ru
Код ТТ: 7519М_ДмитрияУльянова18",
"Москва ул. Довженко, д. 6",55.7217255,37.5136795,"Формат: Шмель
Адрес: Москва ул. Довженко, д. 6
ТТ: 7062
Телефон ТТ: , 79267162659
Эл. почта: retail.1.27@vkusvill.ru, retail.1.27@vkusvill.ru
Код ТТ: 7062Ш_Довженко6",
"Москва ул. Долгопрудная аллея, д. 14 к. 3",,,Not Found,"Формат: Жук
Адрес: Москва ул. Вертолетчиков, д. 2А к. 3
ТТ: 6675
Телефон ТТ: , 79296935136
Эл. почта: retail.2.31@vkusvill.ru, retail.2.31@vkusvill.ru
Код ТТ: 6675Ж_Вертолетчиков2"
"Москва ул. Долгоруковская, д. 39/6",55.7784906,37.6007058,"Формат: ВкусВилл
Адрес: Москва ул. Долгоруковская, д. 39/6
ТТ: 861
Телефон ТТ: , 79366224718
Эл. почта: retail.3.29@vkusvill.ru, retail.3.29@vkusvill.ru
Код ТТ: 861М_Долгоруковская39",
Москва ул. Домодедовская 44,55.6014418,37.7146331,"Формат: Шмель
Адрес: Москва ул. Домодедовская 44
ТТ: 1269
Телефон ТТ: , 79261770702
Эл. почта: retail.2.14@vkusvill.ru, retail.2.14@vkusvill.ru
Код ТТ: 1269Ш_Домодедовская44",
"Москва ул. Донецкая, д. 30 к. 1",55.645476,37.707215,"Формат: ВкусВилл
Адрес: Москва ул. Донецкая, д. 30 к. 1
ТТ: 4940
Телефон ТТ: , 79261606098
Эл. почта: retail.2.21@vkusvill.ru, retail.2.21@vkusvill.ru
Код ТТ: 4940М_Донецкая30",
"Москва ул. Донецкая, д. 34 к. 3",55.643917,37.702616,"Формат: Жук
Адрес: Москва ул. Донецкая, д. 34 к. 3
ТТ: 7142
Телефон ТТ: , 79261606098
Эл. почта: retail.2.21@vkusvill.ru, retail.2.21@vkusvill.ru
Код ТТ: 7142Ж_Донецкая34",
"Москва ул. Дубнинская, д. 16, к. 1",55.868927,37.5629944,"Формат: ВкусВилл
Адрес: Москва ул. Дубнинская, д. 16, к. 1
ТТ: 2329
Телефон ТТ: , 79255880024
Эл. почта: retail.3.5@vkusvill.ru, retail.3.5@vkusvill.ru
Код ТТ: 2329М_Дубнинская16",
"Москва ул. Дубнинская, д. 2, к. 2",55.8562422,37.567412,"Формат: Жук
Адрес: Москва ул. Дубнинская, д. 2, к. 2
ТТ: 2441
Телефон ТТ: , 79255880024
Эл. почта: retail.3.5@vkusvill.ru, retail.3.5@vkusvill.ru
Код ТТ: 2441Ж_Дубнинская2",
"Москва ул. Дубравная, д. 34/29",55.8461361,37.358237,"Формат: ВкусВилл
Адрес: Москва ул. Дубравная, д. 34/29
ТТ: 3781
Телефон ТТ: , 79257861062
Эл. почта: retail.1.2@vkusvill.ru, retail.1.2@vkusvill.ru
Код ТТ: 3781М_Дубравная34",
"Москва ул. Дубравная, д. 39",55.8435511,37.3569592,"Формат: Жук
Адрес: Москва ул. Дубравная, д. 39
ТТ: 7092
Телефон ТТ: , 79257861062
Эл. почта: retail.1.2@vkusvill.ru, retail.1.2@vkusvill.ru
Код ТТ: 7092Ж_Дубравная39",
"Москва ул. Дыбенко, д. 14, к. 2",55.870592,37.4860831,"Формат: Жук
Адрес: Москва ул. Дыбенко, д. 14, к. 2
ТТ: 2450
Телефон ТТ: , 79366224692
Эл. почта: retail.1.28@vkusvill.ru, retail.1.28@vkusvill.ru
Код ТТ: 2450Ж_Дыбенко14",
"Москва ул. Дыбенко, д. 36 к. 3",55.8764613,37.4859805,"Формат: Жук
Адрес: Москва ул. Дыбенко, д. 36 к. 3
ТТ: 8348
Телефон ТТ: , 79259526915
Эл. почта: retail.3.40@vkusvill.ru, retail.3.40@vkusvill.ru
Код ТТ: 8348Ж_Дыбенко36",
"Москва ул. Дыбенко, д. 7/1 стр. 1",55.8778664,37.4795818,"Формат: Шмель
Адрес: Москва ул. Дыбенко, д. 7/1 стр. 1
ТТ: 6905
Телефон ТТ: , 79259526915
Эл. почта: retail.3.40@vkusvill.ru, retail.3.40@vkusvill.ru
Код ТТ: 6905Ш_Дыбенко7",
"Москва ул. Егора Абакумова, д. 15а",55.8800672,37.7122111,"Формат: ВкусВилл
Адрес: Москва ул. Егора Абакумова, д. 15а
ТТ: 3682
Телефон ТТ: , 79267167991
Эл. почта: retail.3.39@vkusvill.ru, retail.3.39@vkusvill.ru
Код ТТ: 3682М_ЕгораАбакумова15",
"Москва ул. Енисейская, д. 11",55.8652214,37.6615375,"Формат: ВкусВилл
Адрес: Москва ул. Енисейская, д. 11
ТТ: 8848
Телефон ТТ: , 79267167991
Эл. почта: retail.3.39@vkusvill.ru, retail.3.39@vkusvill.ru
Код ТТ: 8848М_Енисейская11",
